Distancing measure, Percent Distancing, Percent Infected, Death time
NONE, 1, 0.02, 0:
NONE, 1, 0.02, 1:
NONE, 1, 0.02, 2:
5721
29450
29904
30007
30582
31347
31433
31872
33413
34378
34513
35159
36861
36972
37856
38339
38391
38774
39159
39825
40569
42092
42155
42334
44208
45747
45812
NONE, 1, 0.02, 3:
NONE, 1, 0.02, 4:
NONE, 1, 0.02, 5:
NONE, 1, 0.02, 6:
NONE, 1, 0.02, 7:
15035
15098
20070
26113
32124
44484
46359
46858
46946
48284
48425
49577
50036
54068
54343
57323
58919
60062
63580
63917
64316
69830
71454
74478
NONE, 1, 0.02, 8:
NONE, 1, 0.02, 9:
28360
36668
37297
38450
43639
51716
52156
52867
52981
54417
55885
57338
60691
62107
63073
63455
63954
64819
66639
68474
69012
69613
70009
75619
76201
77255
78237
80492
80812
84227
85139
85358
88029
89484
LIGHT, 1, 0.02, 0:
26727
30417
30981
31022
33910
34589
36131
36526
36788
38604
39198
39488
40274
43580
47711
48894
49206
49877
52744
53166
53211
53308
53819
54375
55899
60035
61690
62807
62844
64474
68334
LIGHT, 1, 0.02, 1:
LIGHT, 1, 0.02, 2:
22599
26877
27198
28122
28628
29038
30375
30870
32057
33914
34486
36846
38532
39354
39376
40328
41258
41588
41767
41910
44314
44522
45909
46486
47026
47594
47767
47846
49028
49326
LIGHT, 1, 0.02, 3:
24035
27766
28443
34502
44940
47040
48991
49376
56701
66133
66353
67884
69706
71294
73010
73222
74052
76775
79821
83293
83906
86489
87214
89532
90118
98198
101676
102873
103120
105794
110239
112280
113652
114005
LIGHT, 1, 0.02, 4:
35118
36188
37738
43377
46334
46967
47526
47840
49299
52875
55060
55459
57701
60829
61932
63042
64368
64819
65106
65347
65365
66229
68040
69079
69331
71384
74192
74684
76725
77152
78972
79166
79965
81570
81989
85572
86528
92810
93518
LIGHT, 1, 0.02, 5:
27725
28045
28409
28800
28862
29066
30768
30916
32186
35795
36334
37126
37250
37828
38998
40452
42014
43249
43795
43890
45438
46526
50622
51469
51876
52342
52753
54240
58773
59316
59462
60246
60306
61249
61373
64138
70974
LIGHT, 1, 0.02, 6:
27791
32014
33328
33549
33773
33877
35388
35560
39177
39994
41644
44771
45615
47108
47412
49507
51252
51586
53723
54669
57736
57862
59472
60307
61793
61991
62358
65303
66290
67978
68825
69217
69259
72884
72987
75031
78628
79491
80541
LIGHT, 1, 0.02, 7:
LIGHT, 1, 0.02, 8:
LIGHT, 1, 0.02, 9:
19708
29806
31856
33046
36417
38798
42002
42340
45523
49304
50172
50518
51706
51725
52867
53587
55361
55614
56489
60047
61063
62927
63471
65126
66354
70078
70394
LIGHT, 1, 0.06, 0:
10036
30029
34400
35517
37289
37777
38081
38635
40196
41042
42762
42826
42843
43041
44676
46437
48781
49439
50215
51244
53450
53798
53880
54685
LIGHT, 1, 0.06, 1:
18810
24137
26294
26629
29764
29971
31642
31792
32040
32741
33986
35309
36776
36867
37592
38258
40844
41796
43808
43871
45577
46569
47101
47519
47664
48299
50582
50770
52204
52361
54133
56354
56553
56554
LIGHT, 1, 0.06, 2:
22039
26076
26111
28679
29554
30646
31097
31282
34453
38409
38537
41887
42846
45067
49427
52376
53573
53818
53909
54902
55203
55333
56870
57129
57486
57774
58032
59888
LIGHT, 1, 0.06, 3:
21115
23033
26622
30258
32575
32799
33004
37966
38006
40196
41866
41994
42776
43477
43596
44101
44547
44734
47020
47060
49083
49624
54011
54384
54721
56705
57348
59032
60905
64500
66961
67060
67526
67971
68757
71486
73762
76226
LIGHT, 1, 0.06, 4:
21440
22157
22288
23631
26961
31346
31675
31887
33127
33363
34098
34174
34764
35589
36414
37834
40174
40310
40376
41067
41274
42104
42122
42486
42550
42607
42669
43876
44086
46813
46850
47127
47333
48102
48673
51110
51530
52694
52876
53329
54627
55038
55230
58765
LIGHT, 1, 0.06, 5:
21955
45405
60298
64488
68470
68518
70201
79448
85300
LIGHT, 1, 0.06, 6:
16061
21167
23464
23480
26883
27539
28114
29442
30651
31419
32549
33399
35363
35964
37000
38125
38144
38457
38495
39728
40452
40637
41681
41950
43199
44267
45673
46203
46332
47199
48050
49229
LIGHT, 1, 0.06, 7:
22498
23211
29241
32607
33068
35119
37284
39557
40083
40738
41604
43236
46611
47341
47763
52021
52745
53576
53960
55015
59392
61149
61377
62273
64088
65185
65806
65826
71694
73169
76227
77746
80610
81234
81427
84872
86939
LIGHT, 1, 0.06, 8:
11558
16339
21132
22929
23104
24066
26102
27527
28518
30852
34179
34507
36438
38932
40450
42296
42298
45645
47480
48427
49151
50676
50892
51615
51775
51855
52818
59014
61111
61499
65962
68191
69685
74144
75254
75862
76869
78336
78471
81202
82022
83230
LIGHT, 1, 0.06, 9:
23326
33947
34358
35150
36651
37138
37561
39513
39687
40713
42103
43327
43655
46109
47662
49142
49479
52004
52572
53124
53422
53501
54748
55072
56339
57556
58051
58838
62599
63489
63895
68655
68989
71805
71867
73112
LIGHT, 1, 0.1, 0:
24654
27570
28469
30118
33135
34165
34481
34602
36124
36568
37236
39699
39850
40372
40616
41513
43017
43505
43999
44123
46013
46014
48549
51253
51671
51674
52224
52807
52902
53759
56976
60546
61490
61529
61712
62497
64095
66324
68485
69783
71386
79442
LIGHT, 1, 0.1, 1:
21961
22182
23930
24408
26178
27703
31182
31921
33208
35071
35204
36070
38309
38502
38837
38930
39071
39639
40013
41168
42696
43713
44221
44566
45679
45783
46262
49522
49914
50403
50489
