Distancing measure, Percent Distancing, Percent Infected, Num Dead, Time to eradicate
LIGHT, 0.8, 0.2, 39, 39404
LIGHT, 0.8, 0.2, 35, 44157
LIGHT, 0.8, 0.2, 41, 43138
LIGHT, 0.8, 0.2, 38, 40507
LIGHT, 0.8, 0.2, 42, 47069
LIGHT, 0.8, 0.2, 34, 40246
LIGHT, 0.8, 0.2, 21, 31270

LIGHT, 0.8, 0.3, 41, 31902
LIGHT, 0.8, 0.3, 33, 33205
LIGHT, 0.8, 0.3, 42, 59807
LIGHT, 0.8, 0.3, 42, 34500
LIGHT, 0.8, 0.3, 28, 29824
LIGHT, 0.8, 0.3, 24, 29858
LIGHT, 0.8, 0.3, 41, 38130
LIGHT, 0.8, 0.3, 36, 32053
LIGHT, 0.8, 0.3, 30, 32346
LIGHT, 0.8, 0.3, 25, 28874

LIGHT, 0.74, 0.02, 0, 14008
LIGHT, 0.74, 0.02, 0, 14018
LIGHT, 0.74, 0.02, 29, 86361
LIGHT, 0.74, 0.02, 0, 14050
LIGHT, 0.74, 0.02, 20, 128577
LIGHT, 0.74, 0.02, 43, 77453
LIGHT, 0.74, 0.02, 43, 85129
LIGHT, 0.74, 0.02, 30, 114581
LIGHT, 0.74, 0.02, 0, 14029
LIGHT, 0.74, 0.02, 40, 105754

LIGHT, 0.74, 0.06, 39, 65973
LIGHT, 0.74, 0.06, 15, 76884
LIGHT, 0.74, 0.06, 40, 105619
LIGHT, 0.74, 0.06, 33, 102562
LIGHT, 0.74, 0.06, 38, 84138
LIGHT, 0.74, 0.06, 40, 59043
LIGHT, 0.74, 0.06, 29, 59313
LIGHT, 0.74, 0.06, 35, 111984
LIGHT, 0.74, 0.06, 35, 64166
LIGHT, 0.74, 0.06, 39, 84044

LIGHT, 0.74, 0.1, 37, 49343
LIGHT, 0.74, 0.1, 32, 48407
LIGHT, 0.74, 0.1, 40, 65726
LIGHT, 0.74, 0.1, 35, 62628
LIGHT, 0.74, 0.1, 35, 55170
LIGHT, 0.74, 0.1, 43, 56838
LIGHT, 0.74, 0.1, 31, 64219
LIGHT, 0.74, 0.1, 43, 69795
LIGHT, 0.74, 0.1, 38, 56563
LIGHT, 0.74, 0.1, 34, 82891

LIGHT, 0.74, 0.2, 31, 36765
LIGHT, 0.74, 0.2, 43, 56294
LIGHT, 0.74, 0.2, 40, 46202
LIGHT, 0.74, 0.2, 35, 41833
LIGHT, 0.74, 0.2, 34, 36389
LIGHT, 0.74, 0.2, 37, 43668
LIGHT, 0.74, 0.2, 38, 37866
LIGHT, 0.74, 0.2, 24, 30623
LIGHT, 0.74, 0.2, 32, 38148
LIGHT, 0.74, 0.2, 37, 38192

LIGHT, 0.74, 0.3, 39, 39833
LIGHT, 0.74, 0.3, 37, 35300
LIGHT, 0.74, 0.3, 41, 43560
LIGHT, 0.74, 0.3, 38, 42867
LIGHT, 0.74, 0.3, 25, 28108
LIGHT, 0.74, 0.3, 37, 30252
LIGHT, 0.74, 0.3, 34, 55718
LIGHT, 0.74, 0.3, 31, 29844
LIGHT, 0.74, 0.3, 38, 35872
LIGHT, 0.74, 0.3, 42, 44922

LIGHT, 0.5, 0.02, 35, 100750
LIGHT, 0.5, 0.02, 44, 62955
LIGHT, 0.5, 0.02, 39, 69483
LIGHT, 0.5, 0.02, 0, 14018
LIGHT, 0.5, 0.02, 36, 106031
LIGHT, 0.5, 0.02, 0, 14017
LIGHT, 0.5, 0.02, 0, 14011
LIGHT, 0.5, 0.02, 41, 165010
LIGHT, 0.5, 0.02, 0, 14029
LIGHT, 0.5, 0.02, 31, 72485

LIGHT, 0.5, 0.06, 0, 22702
LIGHT, 0.5, 0.06, 41, 88675
LIGHT, 0.5, 0.06, 37, 59811
LIGHT, 0.5, 0.06, 41, 104130
LIGHT, 0.5, 0.06, 39, 116113
LIGHT, 0.5, 0.06, 34, 109502
LIGHT, 0.5, 0.06, 33, 64424
LIGHT, 0.5, 0.06, 23, 114042
LIGHT, 0.5, 0.06, 30, 117035
LIGHT, 0.5, 0.06, 34, 88809

LIGHT, 0.5, 0.1, 41, 63599
LIGHT, 0.5, 0.1, 38, 100150
LIGHT, 0.5, 0.1, 32, 46382
LIGHT, 0.5, 0.1, 32, 56555
LIGHT, 0.5, 0.1, 37, 52031
LIGHT, 0.5, 0.1, 45, 69912
LIGHT, 0.5, 0.1, 35, 47300
LIGHT, 0.5, 0.1, 28, 35465
LIGHT, 0.5, 0.1, 36, 51387
LIGHT, 0.5, 0.1, 39, 53076

LIGHT, 0.5, 0.2, 27, 39573
LIGHT, 0.5, 0.2, 28, 33970
LIGHT, 0.5, 0.2, 30, 34125
LIGHT, 0.5, 0.2, 38, 38657
LIGHT, 0.5, 0.2, 39, 45996
LIGHT, 0.5, 0.2, 36, 37156
LIGHT, 0.5, 0.2, 34, 43425
LIGHT, 0.5, 0.2, 26, 37647
LIGHT, 0.5, 0.2, 41, 47806
LIGHT, 0.5, 0.2, 43, 41291

LIGHT, 0.5, 0.3, 35, 34905
LIGHT, 0.5, 0.3, 26, 27233
LIGHT, 0.5, 0.3, 39, 35911
LIGHT, 0.5, 0.3, 39, 34345
LIGHT, 0.5, 0.3, 37, 38989
LIGHT, 0.5, 0.3, 38, 34963
LIGHT, 0.5, 0.3, 45, 45956
LIGHT, 0.5, 0.3, 25, 26426
LIGHT, 0.5, 0.3, 27, 29954
LIGHT, 0.5, 0.3, 29, 27700

LIGHT, 0.24, 0.02, 0, 14017
LIGHT, 0.24, 0.02, 32, 91031
LIGHT, 0.24, 0.02, 36, 57927
LIGHT, 0.24, 0.02, 33, 80386
LIGHT, 0.24, 0.02, 0, 21269
LIGHT, 0.24, 0.02, 40, 82835
LIGHT, 0.24, 0.02, 0, 14023
LIGHT, 0.24, 0.02, 15, 87274
LIGHT, 0.24, 0.02, 0, 14016
LIGHT, 0.24, 0.02, 0, 14020

LIGHT, 0.24, 0.06, 28, 48183
LIGHT, 0.24, 0.06, 34, 51904
LIGHT, 0.24, 0.06, 31, 49110
LIGHT, 0.24, 0.06, 29, 86343
LIGHT, 0.24, 0.06, 42, 81747
LIGHT, 0.24, 0.06, 0, 28570
LIGHT, 0.24, 0.06, 40, 92100
LIGHT, 0.24, 0.06, 34, 75074
LIGHT, 0.24, 0.06, 40, 70682
LIGHT, 0.24, 0.06, 0, 14020

LIGHT, 0.24, 0.1, 45, 82483
LIGHT, 0.24, 0.1, 29, 51483
LIGHT, 0.24, 0.1, 37, 46071
LIGHT, 0.24, 0.1, 38, 56475
LIGHT, 0.24, 0.1, 36, 47327
LIGHT, 0.24, 0.1, 27, 52718
LIGHT, 0.24, 0.1, 36, 80598
LIGHT, 0.24, 0.1, 36, 66264
LIGHT, 0.24, 0.1, 41, 64061
LIGHT, 0.24, 0.1, 35, 75646

LIGHT, 0.24, 0.2, 40, 39582
LIGHT, 0.24, 0.2, 32, 36911
LIGHT, 0.24, 0.2, 36, 44347
LIGHT, 0.24, 0.2, 12, 27701
LIGHT, 0.24, 0.2, 40, 48631
LIGHT, 0.24, 0.2, 33, 46005
LIGHT, 0.24, 0.2, 43, 43621
LIGHT, 0.24, 0.2, 37, 37741
LIGHT, 0.24, 0.2, 38, 38297
LIGHT, 0.24, 0.2, 36, 39066

LIGHT, 0.24, 0.3, 43, 39385
LIGHT, 0.24, 0.3, 19, 28110
LIGHT, 0.24, 0.3, 11, 24818
LIGHT, 0.24, 0.3, 27, 29002
LIGHT, 0.24, 0.3, 35, 31230
LIGHT, 0.24, 0.3, 34, 35492
LIGHT, 0.24, 0.3, 37, 39635
LIGHT, 0.24, 0.3, 24, 29138
LIGHT, 0.24, 0.3, 36, 39037
LIGHT, 0.24, 0.3, 18, 27426

LIGHT, 0, 0.02, 0, 14022
LIGHT, 0, 0.02, 0, 14726
LIGHT, 0, 0.02, 40, 70297
LIGHT, 0, 0.02, 0, 14029
LIGHT, 0, 0.02, 40, 152807
LIGHT, 0, 0.02, 0, 14021
LIGHT, 0, 0.02, 0, 27756
LIGHT, 0, 0.02, 0, 14023
LIGHT, 0, 0.02, 21, 94808
LIGHT, 0, 0.02, 34, 111069

LIGHT, 0, 0.06, 43, 106211
LIGHT, 0, 0.06, 39, 63197
LIGHT, 0, 0.06, 35, 101030
LIGHT, 0, 0.06, 28, 49283
LIGHT, 0, 0.06, 26, 53327
LIGHT, 0, 0.06, 37, 45708
LIGHT, 0, 0.06, 38, 112522
LIGHT, 0, 0.06, 38, 53820
LIGHT, 0, 0.06, 38, 58602
LIGHT, 0, 0.06, 32, 62786

LIGHT, 0, 0.1, 31, 60096
LIGHT, 0, 0.1, 32, 66422
LIGHT, 0, 0.1, 32, 54913
LIGHT, 0, 0.1, 35, 73282
LIGHT, 0, 0.1, 35, 54517
LIGHT, 0, 0.1, 33, 68079
LIGHT, 0, 0.1, 41, 46760
LIGHT, 0, 0.1, 32, 42529
LIGHT, 0, 0.1, 24, 39361
LIGHT, 0, 0.1, 41, 67716

LIGHT, 0, 0.2, 6, 25031
LIGHT, 0, 0.2, 25, 38108
LIGHT, 0, 0.2, 26, 30219
LIGHT, 0, 0.2, 41, 49500
LIGHT, 0, 0.2, 40, 42343
LIGHT, 0, 0.2, 33, 34070
LIGHT, 0, 0.2, 43, 51088
LIGHT, 0, 0.2, 45, 40550
LIGHT, 0, 0.2, 24, 29093
LIGHT, 0, 0.2, 24, 30237

LIGHT, 0, 0.3, 37, 31449
LIGHT, 0, 0.3, 20, 27647
LIGHT, 0, 0.3, 24, 25178
LIGHT, 0, 0.3, 35, 38366
LIGHT, 0, 0.3, 23, 24714
LIGHT, 0, 0.3, 30, 32450
LIGHT, 0, 0.3, 42, 36933
LIGHT, 0, 0.3, 35, 40422
LIGHT, 0, 0.3, 28, 34414
LIGHT, 0, 0.3, 24, 28678

STRICT, 1, 0.02, 1, 27524
STRICT, 1, 0.02, 0, 22233
STRICT, 1, 0.02, 0, 14031
STRICT, 1, 0.02, 0, 20549
STRICT, 1, 0.02, 0, 24591
STRICT, 1, 0.02, 1, 27197
STRICT, 1, 0.02, 1, 22078
STRICT, 1, 0.02, 1, 25131
STRICT, 1, 0.02, 0, 20293
STRICT, 1, 0.02, 0, 22039

STRICT, 1, 0.06, 1, 22447
STRICT, 1, 0.06, 1, 23322
STRICT, 1, 0.06, 2, 27974
STRICT, 1, 0.06, 4, 27150
STRICT, 1, 0.06, 1, 26345
STRICT, 1, 0.06, 3, 26820
STRICT, 1, 0.06, 2, 27451
STRICT, 1, 0.06, 5, 27456
STRICT, 1, 0.06, 3, 30180
STRICT, 1, 0.06, 2, 26828

STRICT, 1, 0.1, 18, 27896
STRICT, 1, 0.1, 6, 28585
STRICT, 1, 0.1, 9, 28519
STRICT, 1, 0.1, 3, 22045
STRICT, 1, 0.1, 8, 27674
STRICT, 1, 0.1, 13, 25183
STRICT, 1, 0.1, 7, 27771
STRICT, 1, 0.1, 10, 23755
STRICT, 1, 0.1, 11, 28856
STRICT, 1, 0.1, 4, 24617

STRICT, 1, 0.2, 26, 28172
STRICT, 1, 0.2, 20, 27237
STRICT, 1, 0.2, 34, 31502
STRICT, 1, 0.2, 24, 27206
STRICT, 1, 0.2, 22, 28595
STRICT, 1, 0.2, 19, 26480
STRICT, 1, 0.2, 11, 23920
STRICT, 1, 0.2, 26, 29133
STRICT, 1, 0.2, 27, 28206
STRICT, 1, 0.2, 34, 37431

STRICT, 1, 0.3, 32, 25859
STRICT, 1, 0.3, 26, 25258
STRICT, 1, 0.3, 30, 28399
STRICT, 1, 0.3, 26, 24582
STRICT, 1, 0.3, 8, 22195
