Distancing measure, Percent Distancing, Percent Infected, Num Dead, Time to eradicate
STRICT, 0.24, 0.06, 40, 54626
STRICT, 0.24, 0.06, 40, 44966
STRICT, 0.24, 0.06, 36, 45885
STRICT, 0.24, 0.06, 44, 84165

STRICT, 0.24, 0.1, 35, 36597
STRICT, 0.24, 0.1, 35, 47471
STRICT, 0.24, 0.1, 41, 45623
STRICT, 0.24, 0.1, 37, 38501
STRICT, 0.24, 0.1, 30, 48485
STRICT, 0.24, 0.1, 36, 54674
STRICT, 0.24, 0.1, 26, 39548
STRICT, 0.24, 0.1, 40, 62067
STRICT, 0.24, 0.1, 30, 46618
STRICT, 0.24, 0.1, 42, 45817

STRICT, 0.24, 0.2, 34, 34156
STRICT, 0.24, 0.2, 40, 45845
STRICT, 0.24, 0.2, 44, 38269
STRICT, 0.24, 0.2, 18, 28754
STRICT, 0.24, 0.2, 21, 28955
STRICT, 0.24, 0.2, 40, 38496
STRICT, 0.24, 0.2, 32, 52211
STRICT, 0.24, 0.2, 26, 30512
STRICT, 0.24, 0.2, 46, 53303
STRICT, 0.24, 0.2, 34, 32492

STRICT, 0.24, 0.3, 27, 26230
STRICT, 0.24, 0.3, 36, 32363
STRICT, 0.24, 0.3, 36, 37828
STRICT, 0.24, 0.3, 31, 28189
STRICT, 0.24, 0.3, 43, 35306
STRICT, 0.24, 0.3, 36, 37685
STRICT, 0.24, 0.3, 34, 30248
STRICT, 0.24, 0.3, 44, 34352
STRICT, 0.24, 0.3, 31, 29992
STRICT, 0.24, 0.3, 40, 36639

STRICT, 0, 0.02, 28, 70373
STRICT, 0, 0.02, 45, 85437
STRICT, 0, 0.02, 28, 75990
STRICT, 0, 0.02, 17, 100437
STRICT, 0, 0.02, 43, 88013
STRICT, 0, 0.02, 38, 64720
STRICT, 0, 0.02, 0, 14019
STRICT, 0, 0.02, 38, 77089
STRICT, 0, 0.02, 33, 61347
STRICT, 0, 0.02, 31, 77374

STRICT, 0, 0.06, 38, 100718
STRICT, 0, 0.06, 44, 59762
STRICT, 0, 0.06, 33, 57008
STRICT, 0, 0.06, 31, 68419
STRICT, 0, 0.06, 34, 56051
STRICT, 0, 0.06, 38, 65849
STRICT, 0, 0.06, 37, 52927
STRICT, 0, 0.06, 39, 75041
STRICT, 0, 0.06, 26, 64051
STRICT, 0, 0.06, 42, 62633

STRICT, 0, 0.1, 44, 45661
STRICT, 0, 0.1, 39, 71871
STRICT, 0, 0.1, 25, 47838
STRICT, 0, 0.1, 42, 51982
STRICT, 0, 0.1, 21, 64617
STRICT, 0, 0.1, 32, 65639
STRICT, 0, 0.1, 36, 43544
STRICT, 0, 0.1, 36, 42895
STRICT, 0, 0.1, 24, 41579
STRICT, 0, 0.1, 36, 48072

STRICT, 0, 0.2, 19, 34777
STRICT, 0, 0.2, 45, 53914
STRICT, 0, 0.2, 40, 46635
STRICT, 0, 0.2, 34, 41109
STRICT, 0, 0.2, 36, 35337
STRICT, 0, 0.2, 37, 38220
STRICT, 0, 0.2, 43, 53222
STRICT, 0, 0.2, 42, 48833
STRICT, 0, 0.2, 34, 40531
STRICT, 0, 0.2, 15, 27930

STRICT, 0, 0.3, 36, 44298
STRICT, 0, 0.3, 22, 27171
STRICT, 0, 0.3, 16, 27519
STRICT, 0, 0.3, 13, 24105
STRICT, 0, 0.3, 19, 28730
STRICT, 0, 0.3, 39, 38855
STRICT, 0, 0.3, 44, 43459
STRICT, 0, 0.3, 16, 26742
STRICT, 0, 0.3, 18, 24405
STRICT, 0, 0.3, 37, 33222
